"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Afghanistan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230000.0, 450000.0, 150000.0, 270000.0, 0, 0, 40000.0, -240000.0, 0, 1200000.0, 9000000.0, 180000.0, 100000.0, 0.0, 0.0, 0.0, 0.0, 400000.0, 0.0, 0.0, 10.0, -280000.0, 360000.0, -20000.0, 20000.0, -93326.6, 690000.0, -1460000.0, -10000.0, 6040000.0, 170000.0, 680000.0, 50000000.0, 57799999.9, 186900000.0, 271000000.0, 238000000.0, 188690000.0, 46033740.0, 56107246.5, 190774431.98, 52173421.0, 56823660.0, 48311346.0, 42975262.5, 169146608.0, 93591315.3, 51533896.765, 119435105.715177, 23404553.647249, 12970147.9832, 20600976.1, 0, 0
"Angola", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2399999.9, 1860000.0, 2160000.0, 7540000.0, 6690000.0, 50000.0, -1169999.9, 0, 1870000.0, 2000000.0, 37420000.0, 49049999.9, 115810000.0, 104330000.0, 67140000.0, 278000000.0, 234000000.0, 119000000.0, 131000000.0, 200000000.0, -334800000.0, 664500000.0, 287956000.0, 302100000.0, 170300000.0, 472427000.0, 180559000.0, 411660000.0, 1113970000.0, 2471460000.0, 878620000.0, 2145470000.0, 1743504000.0, 3576971780.0, 2197227820.0, -1303836930.0, -37714860.0, -893342152.0, 1678971010.0, 2205298180.0, -3227211182.45, -3023770965.83688, -1464627990.88284, -7120017424.4614, 3657514667.49327, 10028215162.6394, -179517618.92, -7397295409.18991, -6456076413.12033, -4098478747.63755, -1866468113.07454, -4355116552.71589, -6598652652.09389, 0
"Albania", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20000000.0, 58000000.0, 53000000.0, 70000000.0, 90100000.0, 47500000.0, 45010000.0, 41200000.0, 143000000.0, 207300000.0, 135000000.0, 178036400.666667, 341285112.537562, 262479012.637464, 325138316.803697, 652275603.722803, 1247181714.30558, 1345415233.65619, 1089898207.57431, 1048706682.05458, 917994575.801857, 1254150555.51294, 1149927985.77736, 989578334.828615, 1044389554.85795, 1022757857.07377, 1204383363.60476, 1201022154.46643, 1069744879.65453, 1218586452.37158, 1441381891.41694, 0
"Andorra", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"United Arab Emirates", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7780000.0, 6940000.0, 10510000.0, 3410000.0, 1629999.9, 15949999.9, 49430000.0, 112239999.9, 39119999.9, 64579999.9, 97640000.0, -16940000.0, 95060000.0, 45539999.9, 170240000.0, -220960000.0, 110209999.9, 46719999.9, 188889999.9, 38789999.9, -115819999.9, 25940000.0, 129720000.0, 401319999.9, 62460000.0, 399850000.0, 300519999.9, 232430000.0, 257660000.0, -985340000.0, -506329999.9, 1183839999.9, 95299999.9, 4255956432.9, 10003500000.0, 10899931926.4, 12805990469.7, 14186521443.1, 5062972004.8, 1134288135.2, 8796769640.5, 7152095825.6, 9566651351.0, 9764914527.3, 11071537020.0, 8550901846.5, 9604772999.9, 10354223000.0, 10385286000.0, 17874659400.5, 19884468664.9, 20667120490.1, 22736555479.9, 0
"Argentina", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89769999.9, 125670000.0, 71719999.9, 100250000.0, 17920000.0, 55590000.0, 244680000.0, 144000000.0, 250000000.0, 206000000.0, 678000000.0, 837000000.0, 227000000.0, 185000000.0, 268000000.0, 919000000.0, 574000000.0, -19000000.0, 1147000000.0, 1028000000.0, 1836000000.0, 2439000000.0, 4430977523.08014, 2793085410.09827, 3634931878.26435, 5609423403.56467, 6948536686.64725, 9160272052.4446, 7290657132.08156, 23987696389.6428, 10418314339.1428, 2166136829.76399, 2148910000.0, 1652010000.0, 4124710000.0, 5265250000.0, 5537347786.19331, 6473157762.12915, 9725553129.52469, 4017158924.88408, 11332718626.4345, 10839930944.6815, 15323933916.8241, 9821661858.15874, 5065335541.96486, 11758994011.286, 3260164341.77393, 11516861462.2845, 11716769818.7543, 6649187837.98606, 4884127675.95708, 6902840207.74343, 15408346793.7001, 0
"Armenia", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2399999.9, 800000.0, 8000000.0, 25320000.0, 17570000.0, 51940000.0, 232375000.0, 122034000.0, 104188500.0, 69868500.0, 110725325.614409, 122852992.703235, 247140608.495888, 292073220.164722, 466531991.901724, 667671562.134495, 943733059.483284, 760040745.87233, 529321391.641959, 653219756.47225, 496636701.129687, 346092394.393256, 406578406.693112, 184127986.314895, 333823945.510433, 252747990.684352, 266855048.832037, 100287214.397978, 58582750.1214803, 366445214.820501, 998055425.363603, 0
"Antigua and Barbuda", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2200000.0, -6900000.0, 8500000.0, 19600000.0, 22400000.0, 23000000.0, 5000000.0, 4400000.0, 15600000.0, 22600000.0, 38596296.2962963, 32951851.8518519, 43107407.4074074, 60607407.4074074, 54792592.5925926, 19648148.1481481, 15240740.7407407, 24788888.8888889, 31485185.1851852, 19351851.8518519, 22944444.4444444, 22774074.0740741, 51792533.3333333, 43115925.9259259, 98452222.2222222, 65865064.8148148, 166321143.703704, 80366585.1851852, 220963374.074074, 358820163.703704, 338204733.333333, 158783774.444445, 80646652.5925926, 96679207.7777778, 65160596.2962963, 129367138.888889, 134288999.62963, 46263101.049287, 114024660.121814, 97431976.4735789, 151271628.230867, 204608526.825977, 128250994.604727, 77209535.3269252, 244580656.306513, 195850567.4074, 0
"Austria", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112650000.0, 142729999.9, 145400000.0, 160759999.9, 177050000.0, 79109999.9, 91230000.0, 96810000.0, 142389999.9, 187430000.0, 239300000.0, 327519999.9, 207919999.9, 216120000.0, 115239999.9, 169167935.4, 183400907.8, 395491398.0, 445427083.5, 581979789.4, 653000000.0, 360000000.0, 1485517753.3274, 1125106121.7535, 2075823594.1357, 1825090252.7076, 4323513091.6238, 2668974816.3705, 4571855706.7408, 2974499987.6415, 8501013451.2622, 5689434546.447, 138346430.7562, 6195021861.4636, 3183649649.5378, 81096089418.116, 10500457158.3387, 68865787583.4395, 6301143681.98324, 14300064389.0077, -22007325156.2772, 22983942931.9265, 5218620112.78237, 451107665.231021, 1712175273.93107, -7975773543.92081, -28939340169.025, 13518864836.2849, -28605757320.128, -12394032432.5489, -11666737766.2068, 12326601370.8518, -1408908485.02442, 0
"Azerbaijan", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10000.0, 22000000.0, 330050000.0, 627277000.0, 1114838000.0, 1022967000.0, 510317000.0, 129937000.0, 819579000.0, 2024577000.0, 4007330000.0, 4719107000.0, 4476396000.0, 4485966000.0, 4594234000.0, 3986807000.0, 2900030000.0, 3352997000.0, 4485120000.0, 5293250000.0, 2619437000.0, 4430466000.0, 4047630000.0, 4499666000.0, 2867487000.0, 1402998000.0, 1503918000.0, 507151800.0, -1707666000.0, -4474481000.0, 0
