"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Belgium", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.2, 0, 0, 25.7, 0, 0, 0, 25.0, 0, 0, 28.4, 0, 26.8, 0, 0, 33.1, 0, 0, 28.1, 30.5, 29.3, 28.1, 29.2, 28.4, 28.6, 28.4, 28.1, 27.5, 27.7, 28.1, 27.7, 27.6, 27.4, 27.2, 27.2, 26.0, 0, 0, 0
"Benin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.6, 0, 0, 0, 0, 0, 0, 0, 43.4, 0, 0, 0, 47.8, 0, 0, 37.9, 0, 0, 0, 0, 0
"Burkina Faso", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48.1, 0, 0, 0, 49.9, 0, 0, 0, 0, 43.3, 0, 0, 0, 0, 0, 39.8, 0, 0, 0, 0, 35.3, 0, 0, 0, 43.0, 0, 0, 0, 0, 0
"Bangladesh", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.9, 0, 26.9, 0, 0, 28.8, 0, 0, 27.6, 0, 0, 0, 32.9, 0, 0, 0, 0, 33.4, 0, 0, 0, 0, 33.2, 0, 0, 0, 0, 32.1, 0, 0, 0, 0, 0, 32.4, 0, 0, 0, 0, 0, 31.8, 0
"Bulgaria", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.7, 36.1, 33.6, 33.8, 35.7, 34.3, 36.0, 36.6, 37.4, 38.6, 40.6, 40.4, 41.3, 40.3, 40.5, 0, 0, 0
"Bahrain", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Bahamas, The", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Bosnia and Herzegovina", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.0, 0, 0, 34.0, 0, 0, 33.1, 0, 0, 0, 33.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Belarus", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.0, 31.7, 31.2, 30.6, 30.3, 28.8, 26.5, 27.6, 28.3, 29.6, 27.8, 27.7, 28.6, 27.2, 26.5, 26.6, 27.2, 25.6, 25.3, 25.4, 25.2, 25.3, 24.4, 0, 0, 0
"Belize", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60.3, 60.9, 0, 56.6, 60.4, 54.9, 53.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
