"Country Name", 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 
"Burundi", 0, 206666179.554494, 229705021.269166, 249136186.894507, 218415484.942797, 186278497.787107, 178801235.584484, 176530724.120872, 178807836.955545, 235185344.339497, 250901658.137909, 245081171.319052, 301256262.156913, 348631154.07846, 414529128.473157, 461778313.282687, 545551150.710032, 581439793.96126, 720310248.681955, 896643348.12669, 1074923410.5376, 1034715176.42286, 1019182029.11029, 1009821428.96935, 1131169775.84309, 1201972390.95175, 1294120780.37545, 1302305820.07228, 1210929034.48829, 1187230148.14582, 1225750918.69182, 1192299103.39097, 1044187086.04926, 955734527.512236, 916444361.720222, 868857678.246204, 906257045.793456, 906190341.769784, 866791060.369462, 859340937.271476, 843865403.324028, 862872253.002526, 827371846.914145, 887399115.979547, 995526629.385787, 1175592856.97385, 1332125464.60572, 1516882370.28424, 1667671719.61737, 1895260749.6267, 2104211718.86729, 2314488332.17583, 2477670972.35536, 2602424271.85811, 2652740332.4846, 2698513844.92701, 2772946891.6591, 2751048867.89166, 2752978398.26599, 2699979060.63134, 2815868449.86534, 3117740178.48493, 0
"Belgium", 0, 13405546015.7945, 14226174724.9565, 15668565678.5184, 17067196863.0391, 18553179286.3821, 20097046130.0383, 21872541388.0785, 24221708058.966, 26939395914.1525, 29788312229.064, 35350537140.9616, 45680738547.4617, 58593476575.9163, 67734022237.7547, 74457868971.8877, 80808471279.8838, 94084075934.9798, 115562722036.487, 137826291586.867, 130079947219.276, 110218089875.51, 92902068823.0598, 87358379673.0435, 86990552702.5463, 100256153980.868, 129247168084.123, 168426362040.138, 179183426893.317, 192493996352.757, 205932197393.285, 232729156195.684, 236050839568.009, 253794929772.071, 274407357627.372, 289994918534.057, 289648046571.827, 270640520218.741, 265718250364.071, 265412943263.016, 251585511594.329, 248630883865.921, 281155909686.136, 342924468510.739, 395908859774.115, 421243770570.434, 454104258521.721, 498712287295.859, 507226125473.886, 513016679102.34, 513215564352.928, 523505955018.917, 534535196101.19, 536066329528.368, 513773921719.397, 491770197449.636, 483618170227.915, 526314889071.947, 552669763969.244, 531943792670.728, 591607852060.139, 629744991190.646, 0
"Benin", 0, 233081244.148711, 249823276.529326, 271737334.715138, 292322671.905726, 308228074.570498, 314614211.283279, 333126806.156315, 344766352.116977, 352437255.82658, 347345820.906677, 397398703.097615, 487765487.379995, 599423384.613615, 668407934.684283, 706757958.34787, 787514376.518393, 876798112.519374, 1113346652.91576, 1433291410.86597, 1561860215.55996, 1427034075.77469, 1156983671.23025, 1121503753.34619, 1114750070.69182, 1202357091.96557, 1390353443.99067, 1698144660.86759, 1635602547.95671, 1825173505.13904, 1953417688.84552, 1947363956.36498, 2105179022.74888, 1894285393.75289, 2098301533.34634, 2130455437.29082, 2374740827.68952, 2403760111.85246, 2762941343.38897, 3285462999.58023, 3783167900.53184, 3890714812.45988, 4536166167.63427, 5655949819.6461, 6571349613.19587, 7082441114.55605, 7808105575.68794, 8977720950.50081, 9725278104.96719, 9953915592.81382, 10357314406.23, 10942496020.9721, 12214953760.8085, 13069576864.8328, 12462818463.7203, 12104023377.961, 12203345773.4089, 13728468191.5508, 14803042849.8452, 15510181613.5605, 17249460841.1005, 18643890103.4385, 0
"Burkina Faso", 0, 387079233.955402, 387900779.669738, 408452225.501187, 428515759.623359, 440441286.239088, 474418479.012029, 488390595.056806, 495557663.699041, 492796321.250764, 503420899.406982, 551659417.297601, 657214246.33789, 829367840.737615, 962066238.887139, 1040581437.46054, 1100289200.56986, 1307248243.92662, 1672887524.75007, 2016183085.81972, 2079799215.7053, 2020634180.28448, 1726429076.21503, 1550335317.27796, 1600017144.50069, 1864882213.18475, 2189871551.03872, 2715942816.04706, 2828813292.72059, 2922762679.13095, 3227199420.92345, 3445118326.45718, 3421404998.93506, 2733946300.77983, 2559493172.71103, 2562019871.71872, 2682136813.29121, 2729578649.92487, 3003739874.3054, 3135673598.45853, 3302319448.74819, 3339651440.15142, 4053974304.19387, 5021639687.99746, 6137861202.38525, 6734050963.72944, 7275158296.39771, 8431017728.10591, 9277584612.73947, 10111306844.9883, 10923947116.1522, 12119235602.1897, 13218406478.0715, 13374188290.8274, 12719827561.5588, 12626356084.0111, 12947522457.3919, 14844368559.0164, 15768550866.4534, 16648082247.3104, 18329947617.226, 19373681539.4278, 0
"Bangladesh", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8399229203.37011, 10948234834.7012, 14726601164.442, 14612255950.6217, 12748203735.7556, 12459885762.845, 15000933835.0456, 18482464846.4267, 21495903580.0192, 20906830880.537, 19631686878.0643, 19385911622.6188, 20469650220.1726, 23034262941.2841, 26554303286.9657, 28686459942.9651, 30263526809.4316, 32618765050.2977, 33713368748.658, 35343162387.254, 35844144872.8773, 36601374717.4855, 39239825917.287, 43235500965.0164, 47648031017.1507, 51007260846.1438, 52908196769.1062, 55712709024.3168, 57006615190.8236, 57885640079.2199, 62202314642.2852, 69524380791.4125, 76597955074.373, 80892598778.5738, 86321635004.8073, 95700151952.28, 106129582502.81, 118314354582.001, 133342227380.804, 146862513361.85, 158833091091.019, 171249806139.732, 191313718181.893, 225566323953.743, 266709279546.192, 329873277453.46, 366486814191.643, 385221342236.401, 435530733150.262, 483359642181.259, 0
"Bulgaria", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21029650794.0748, 18679756142.9839, 18027947125.2572, 17466578583.112, 19588769136.5517, 24404178344.696, 27889860110.0578, 25143313521.7937, 19583467212.2807, 14005767677.037, 12201065685.7186, 10582888284.4449, 10500779719.9622, 12751576533.6365, 13265926275.9267, 12129809302.1156, 11856359149.6019, 12146868063.2669, 13562745977.1071, 14192525441.4524, 15421104005.4936, 18444531844.2624, 23597391685.6733, 29128687188.6666, 32658103888.2299, 36336316482.5688, 45506114796.5049, 49728754926.7005, 51842228079.549, 53386008476.9186, 54766093428.7835, 55187884329.8833, 55665386417.7123, 53359150402.9379, 52781352541.8521, 53947735690.3731, 59958443794.9439, 66274613365.056, 66086984109.2259, 75965019544.322, 86291504903.7036, 0
"Bahrain", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3287840336.09538, 3628805042.16455, 3790810479.71292, 3314646401.74777, 3132765171.32566, 3458355359.85297, 3628046131.58081, 3686362523.73833, 4497900920.50104, 4994683450.83884, 5171129921.94784, 5380447652.41535, 5321909006.99681, 5852426580.90685, 6244712082.76498, 6133273925.88048, 6178095357.58235, 6284400090.44191, 7269717483.51722, 8019540764.0424, 8864867960.95051, 10077169513.3013, 12089682733.2336, 14713723046.1892, 17146154927.0017, 20366230214.7515, 23250102238.2947, 22319121664.1462, 23537720533.7603, 23212673261.2993, 28613156266.5759, 31282350546.5407, 32157332383.7786, 30981591728.0395, 30761273467.5573, 31742032640.7025, 34521686823.1087, 36488057122.0556, 33927062989.899, 36175022362.8728, 40804533744.9633, 0
"Bahamas, The", 0, 188281882.39582, 210284029.492618, 235353815.935965, 266062954.508329, 299223721.05679, 339896179.470975, 389425886.297693, 453681723.336991, 494517977.215265, 541492640.273277, 567006845.581123, 679535213.254311, 710279951.85407, 876724605.236738, 601319732.61486, 663176664.524999, 750413498.015504, 1070542472.61388, 1274477880.52037, 1246649509.32805, 1400928838.27201, 1494485086.21231, 1770748663.58282, 1996436628.09258, 2246851633.70228, 2626461031.8468, 2898852368.39557, 3130723131.17892, 3040510047.8394, 2956545706.56336, 3073669659.3797, 3066883021.97669, 3199907521.50565, 3995583280.45539, 4524381725.06932, 4185965166.44688, 5104093979.22997, 7112422099.49638, 7732579723.34136, 8038571753.45881, 8364163113.48235, 8693917815.46369, 9332468908.86633, 9932077373.15443, 10182287902.2663, 10489838620.8159, 10620272829.9349, 10131134796.8358, 10040047174.1254, 10031455235.3067, 10382022776.9348, 10107347292.1846, 10321435721.9412, 10508678878.8802, 10675786828.5217, 11333723603.7214, 11874862575.0634, 12315822327.3079, 9365263023.0732, 11369923383.9992, 12923353322.1401, 0
"Bosnia and Herzegovina", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2875913655.60141, 3782231144.82368, 4960188983.82413, 5240944037.84099, 5789997592.80085, 6072689528.97334, 6574027717.56333, 7649975033.22046, 10154900523.0016, 11522099103.9872, 12846776654.0246, 14754558803.9032, 17762735039.0806, 18577059977.5782, 18360908053.1252, 18340376801.0712, 17987304621.3626, 18664887593.7146, 18455365503.9862, 18086544442.4737, 17600401100.1303, 17385647666.1159, 19385968203.1273, 20687550970.2057, 20316003116.7172, 22559976930.5699, 24784882296.2493, 0
"Belarus", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27600000000.0, 17205062775.007, 11646180786.801, 14010421431.4401, 14778943340.603, 15584440170.5942, 15716559747.4165, 14138688448.4339, 13765809031.9261, 12926037362.0148, 13638304683.6039, 15937211151.8928, 21128550060.7992, 27217479705.0168, 33761151079.013, 41176324223.1797, 52095905435.5977, 53836607770.223, 58336092055.552, 60026837310.1041, 62626444889.9581, 66405454809.7951, 72028951009.8778, 63815259852.4938, 53366339707.7537, 50355250605.3659, 54056744191.2502, 59991300949.5788, 60152522811.5429, 65477972901.586, 66548879640.4677, 0
