, AUS, AUT, BEL, CAN, CZE, DNK, FIN, FRA, DEU, GRC, HUN, ISL, IRL, ITA, JPN, KOR, LUX, MEX, NLD, NZL, NOR, POL, PRT, SVK, ESP, SWE, CHE, TUR, GBR, USA, BRA, CHL, CHN, COL, EST, IND, IDN, ISR, RUS, SVN, ZAF, DEW, LVA, LTU, SAU, EA19, ARG, CRI, BGR, HRV, CYP, MLT, ROU, MKD, MDG, MAR, ZMB, SRB, HKG, EU27_2020, ALB, SGP, GEO, CMR, SEN
AUS, 1.0, 0.47253762118323744, 0.7203550232841832, 0.9311806717255362, 0.9311806717255362, 0.1292658032123281, 2.10244775416495, 1.6194954635981413, 0.4157801013864972, 10.141262124894936, 10.141262124894936, 5.482460072333397, 1.968909186333185, 2.766095803411548, 0.0024801583333333333, 0.01785714, 0.7203550232841832, 71.42855999999999, 0.517788867206189, 1.24999580001344, 0.124999930000028, 2232.1425, 6.2261652394633344, 6.2261652394633344, 3.596922990154213, 0.17259245226851413, 0.20417727163585223, 3.826486268728358, 2.49999860000056, 0.892857, -, 1713.7370441458734, 0.3626832950890991, 0.23511705069124425, 0.23511705069124425, 0.1875001575001575, 0.1875001575001575, 4960.316666666667, 4960.316666666667, 4960.316666666667, 1.24999930000028, 1.24999930000028, 1.24999930000028, 1.24999930000028, 0.2380952, 0.2380952, 0.2380952, 0.15901282279608192, 763.125641025641, 763.125641025641, 1.4631842875052237, 1.0732499197638232, 1488.0950000000003, 1488.0950000000003, 0.024689054053990533, 0.2488886720791665, 1.24999930000028, 1.24999930000028, 0.15624958437603906, 0.15624958437603906, 0.15624958437603906, 0.29166704777833674, 0.29166704777833674, 0.004937791941168638, 0.004937791941168638
AUT, 2.116233618597379, 1.0, 1.5244395175994863, 1.9705958424936694, 1.9705958424936694, 0.27355663849292183, 4.449270618708423, 3.4272307452323343, 0.879887828497932, 21.461279843710958, 21.461279843710958, 11.602166317689752, 4.166671812083497, 5.853704931440644, 0.0052485944444444444, 0.03778988, 1.5244395175994863, 151.15952, 1.095762208117191, 2.6452831350939676, 0.26452905418837835, 4723.735, 13.176020194694708, 13.176020194694708, 7.611929355270155, 0.3652459498067931, 0.43208680638927954, 8.097738882984196, 5.290581083767567, 1.889494, -, 3626.667946257198, 0.7675225819712251, 0.4975626069782752, 0.4975626069782752, 0.39679413679413683, 0.39679413679413683, 10497.188888888888, 10497.188888888888, 10497.188888888888, 2.6452905418837833, 2.6452905418837833, 2.6452905418837833, 2.6452905418837833, 0.5038650666666666, 0.5038650666666666, 0.5038650666666666, 0.33650828138913624, 1614.9521367521368, 1614.9521367521368, 3.096439779422007, 2.2712475613611423, 3149.1566666666668, 3149.1566666666668, 0.05224780620042267, 0.5267065751419909, 2.6452905418837833, 2.6452905418837833, 0.33066062334844165, 0.33066062334844165, 0.33066062334844165, 0.6172356119455642, 0.6172356119455642, 0.010449521307540283, 0.010449521307540283
BEL, 1.388204382112701, 0.6559787964396817, 1.0, 1.292669089028038, 1.292669089028038, 0.17944735447667196, 2.91862718549479, 2.24819069937858, 0.5771877587399985, 14.078144521932716, 14.078144521932716, 7.610775097171138, 2.73324836044968, 3.839906315639464, 0.0034429666666666667, 0.02478936, 1.0, 99.15744, 0.7187967744648031, 1.735249647201129, 0.17352545058981977, 3098.67, 8.643189869180777, 8.643189869180777, 4.9932642570539985, 0.23959359855872853, 0.28343978321270535, 5.311945006342785, 3.4705090117963953, 1.239468, -, 2379.017274472169, 0.5034785395617613, 0.3263905200789994, 0.3263905200789994, 0.2602885402885403, 0.2602885402885403, 6885.933333333333, 6885.933333333333, 6885.933333333333, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 0.3305248, 0.3305248, 0.3305248, 0.22074229741763135, 1059.374358974359, 1059.374358974359, 2.031198839753202, 1.4898902417182442, 2065.78, 2065.78, 0.034273453027967006, 0.34550834523851004, 1.7352545058981976, 1.7352545058981976, 0.2169063577341057, 0.2169063577341057, 0.2169063577341057, 0.4048934738437616, 0.4048934738437616, 0.006854664410691084, 0.006854664410691084
CAN, 1.0739054518248723, 0.5074607275810349, 0.7735931867543172, 1.0, 1.0, 0.13881925080424026, 2.257830105374698, 1.739185007563693, 0.4465085176392575, 10.890756684309762, 10.890756684309762, 5.887643761091018, 2.114422309351281, 2.970525363553562, 0.0026634555555555555, 0.01917688, 0.7735931867543172, 76.70752, 0.5560562873869512, 1.342377304392626, 0.1342381063047575, 2397.11, 6.686312794622186, 6.686312794622186, 3.862755208920831, 0.18534797543498138, 0.21926708514846957, 4.109284465320397, 2.6847621260951495, 0.958844, -, 1840.3915547024953, 0.38948756788199246, 0.2524934825543121, 0.2524934825543121, 0.20135744135744138, 0.20135744135744138, 5326.911111111111, 5326.911111111111, 5326.911111111111, 1.3423810630475748, 1.3423810630475748, 1.3423810630475748, 1.3423810630475748, 0.25569173333333334, 0.25569173333333334, 0.25569173333333334, 0.1707647373107747, 819.5247863247863, 819.5247863247863, 1.5713215833763512, 1.1525689400049766, 1598.0733333333335, 1598.0733333333335, 0.026513709748979396, 0.2672829018432698, 1.3423810630475748, 1.3423810630475748, 0.16779728050679873, 0.16779728050679873, 0.16779728050679873, 0.31322283272682133, 0.31322283272682133, 0.005302721685597919, 0.005302721685597919
CZE, 1.0739054518248723, 0.5074607275810349, 0.7735931867543172, 1.0, 1.0, 0.13881925080424026, 2.257830105374698, 1.739185007563693, 0.4465085176392575, 10.890756684309762, 10.890756684309762, 5.887643761091018, 2.114422309351281, 2.970525363553562, 0.0026634555555555555, 0.01917688, 0.7735931867543172, 76.70752, 0.5560562873869512, 1.342377304392626, 0.1342381063047575, 2397.11, 6.686312794622186, 6.686312794622186, 3.862755208920831, 0.18534797543498138, 0.21926708514846957, 4.109284465320397, 2.6847621260951495, 0.958844, -, 1840.3915547024953, 0.38948756788199246, 0.2524934825543121, 0.2524934825543121, 0.20135744135744138, 0.20135744135744138, 5326.911111111111, 5326.911111111111, 5326.911111111111, 1.3423810630475748, 1.3423810630475748, 1.3423810630475748, 1.3423810630475748, 0.25569173333333334, 0.25569173333333334, 0.25569173333333334, 0.1707647373107747, 819.5247863247863, 819.5247863247863, 1.5713215833763512, 1.1525689400049766, 1598.0733333333335, 1598.0733333333335, 0.026513709748979396, 0.2672829018432698, 1.3423810630475748, 1.3423810630475748, 0.16779728050679873, 0.16779728050679873, 0.16779728050679873, 0.31322283272682133, 0.31322283272682133, 0.005302721685597919, 0.005302721685597919
DNK, 7.735998037759686, 3.6555501102411547, 5.572665046616774, 7.203611849268494, 7.203611849268494, 1.0, 16.264531700712308, 12.528413728555934, 3.2164740484654653, 78.45278389859386, 78.45278389859386, 42.412300361666986, 15.231477602000538, 21.39851170744704, 0.0191865, 0.1381428, 5.572665046616774, 552.5712, 4.005613660680889, 9.66996505611182, 0.9669992132003148, 17267.85, 48.16560207525592, 48.16560207525592, 27.825789193805694, 1.3351748720813577, 1.5795149727300792, 29.601690266396957, 19.339984264006294, 6.90714, -, 13257.46641074856, 2.805717259137488, 1.8188650427913102, 1.8188650427913102, 1.4505008505008505, 1.4505008505008505, 38373.0, 38373.0, 38373.0, 9.669992132003147, 9.669992132003147, 9.669992132003147, 9.669992132003147, 1.841904, 1.841904, 1.841904, 1.2301228851291184, 5903.538461538461, 5903.538461538461, 11.319190777021214, 8.302659273318676, 11511.900000000001, 11511.900000000001, 0.19099447371581357, 1.925402278825046, 9.669992132003147, 9.669992132003147, 1.2087464781338046, 1.2087464781338046, 1.2087464781338046, 2.2563357092923737, 2.2563357092923737, 0.03819874876774618, 0.03819874876774618
FIN, 0.4756360761017722, 0.2247559399500607, 0.34262683667508964, 0.4429031208413465, 0.4429031208413465, 0.0614834794140556, 1.0, 0.7702904675704404, 0.19776001594467052, 4.823550123804548, 4.823550123804548, 2.607655796189295, 0.9364842395882491, 1.3156549540562479, 0.001179652777777778, 0.008493500000000001, 0.34262683667508964, 33.974, 0.24627906504713332, 0.5945430974620881, 0.05945447621820952, 1061.6875, 2.9613888036595912, 2.9613888036595912, 1.7108263370772032, 0.08209119676177848, 0.09711407631004242, 1.8200149141152675, 1.1890895243641904, 0.424675, -, 815.1151631477928, 0.17250525934384023, 0.11183015141540488, 0.11183015141540488, 0.0891818391818392, 0.0891818391818392, 2359.3055555555557, 2359.3055555555557, 2359.3055555555557, 0.5945447621820952, 0.5945447621820952, 0.5945447621820952, 0.5945447621820952, 0.11324666666666668, 0.11324666666666668, 0.11324666666666668, 0.07563223508459484, 362.9700854700855, 362.9700854700855, 0.6959432331227519, 0.5104763805130067, 707.7916666666667, 707.7916666666667, 0.011743004792904608, 0.11838043137391546, 0.5945447621820952, 0.5945447621820952, 0.07431793920515199, 0.07431793920515199, 0.07431793920515199, 0.1387273701334762, 0.1387273701334762, 0.002348591983504404, 0.002348591983504404
FRA, 0.6174762587962014, 0.29178076246868206, 0.444802124782568, 0.5749819574404178, 0.5749819574404178, 0.07981856455783436, 1.2982115735562487, 1.0, 0.2567343414860396, 6.261988596351741, 6.261988596351741, 3.3852889344639774, 1.2157546782864879, 1.7079984881624357, 0.001531438888888889, 0.011026359999999999, 0.444802124782568, 44.105439999999994, 0.31972233256880067, 0.7718427301032637, 0.07718448912620435, 1378.2949999999998, 3.844509218710775, 3.844509218710775, 2.2210145511384694, 0.10657174172322406, 0.12607461782092177, 2.3627644255494222, 1.543689782524087, 0.551318, -, 1058.1919385796546, 0.22394832417949562, 0.14517919684002634, 0.14517919684002634, 0.11577689577689577, 0.11577689577689577, 3062.8777777777773, 3062.8777777777773, 3062.8777777777773, 0.7718448912620435, 0.7718448912620435, 0.7718448912620435, 0.7718448912620435, 0.14701813333333333, 0.14701813333333333, 0.14701813333333333, 0.09818664292074798, 471.2119658119658, 471.2119658119658, 0.9034815597781111, 0.6627063452090889, 918.8633333333333, 918.8633333333333, 0.015244904730475262, 0.15368284609219832, 0.7718448912620435, 0.7718448912620435, 0.096480408798978, 0.096480408798978, 0.096480408798978, 0.18009747747630028, 0.18009747747630028, 0.0030489692945468434, 0.0030489692945468434
DEU, 2.4051175048188007, 1.1365085043932395, 1.7325384761849436, 2.239598933716016, 2.239598933716016, 0.3108994460804327, 5.056633896509094, 3.895076888474528, 1.0, 24.39092705754072, 24.39092705754072, 13.1859606894392, 4.7354579494484845, 6.652785436790938, 0.005965072222222222, 0.04294852, 1.7325384761849436, 171.79407999999998, 1.2453430683179025, 3.006386779562305, 0.30063951974419206, 5368.565, 14.974659005327604, 14.974659005327604, 8.65102244710508, 0.41510512815060663, 0.4910703300975313, 9.20314910686735, 6.012790394883842, 2.147426, -, 4121.7389635316695, 0.8722959417241548, 0.5654841342988808, 0.5654841342988808, 0.45095991095991095, 0.45095991095991095, 11930.144444444442, 11930.144444444442, 11930.144444444442, 3.006395197441921, 3.006395197441921, 3.006395197441921, 3.006395197441921, 0.5726469333333333, 0.5726469333333333, 0.5726469333333333, 0.38244452359750664, 1835.4068376068374, 1835.4068376068374, 3.519130142654638, 2.5812921690693442, 3579.0433333333335, 3579.0433333333335, 0.0593800760826702, 0.5986065019687097, 3.006395197441921, 3.006395197441921, 0.37579861050347374, 0.37579861050347374, 0.37579861050347374, 0.7014935221904991, 0.7014935221904991, 0.011875969832857897, 0.011875969832857897
GRC, 0.09860705577712892, 0.04659554356880731, 0.07103208796031846, 0.09182098443542432, 0.09182098443542432, 0.01274652026743341, 0.20731618296344262, 0.15969367950982918, 0.040998851648438646, 1.0, 1.0, 0.5406092461484615, 0.19414833795685787, 0.27275656317188474, 0.0002445611111111111, 0.0017608399999999998, 0.07103208796031846, 7.043359999999999, 0.051057635709377075, 0.12325840557310215, 0.012325875069649972, 220.105, 0.6139438230453822, 0.6139438230453822, 0.35468198591617384, 0.017018833567552835, 0.02013331961261848, 0.3773185449309151, 0.24651750139299944, 0.088042, -, 168.98656429942417, 0.0357631319082837, 0.02318420013166557, 0.02318420013166557, 0.018488838488838488, 0.018488838488838488, 489.12222222222215, 489.12222222222215, 489.12222222222215, 0.12325875069649972, 0.12325875069649972, 0.12325875069649972, 0.12325875069649972, 0.023477866666666666, 0.023477866666666666, 0.023477866666666666, 0.015679786286731966, 75.24957264957264, 75.24957264957264, 0.14428029465024622, 0.10583001470095045, 146.73666666666668, 146.73666666666668, 0.002434514930186395, 0.02454217917000592, 0.12325875069649972, 0.12325875069649972, 0.015407311481721296, 0.015407311481721296, 0.015407311481721296, 0.028760428848628977, 0.028760428848628977, 0.00048690112535867356, 0.00048690112535867356
