, AUS, AUT, BEL, CAN, CZE, DNK, FIN, FRA, DEU, GRC, HUN, ISL, IRL, ITA, JPN, KOR, LUX, MEX, NLD, NZL, NOR, POL, PRT, SVK, ESP, SWE, CHE, TUR, GBR, USA, BRA, CHL, CHN, COL, EST, IND, IDN, ISR, RUS, SVN, ZAF, DEW, LVA, LTU, SAU, EA19, ARG, CRI, BGR, HRV, CYP, MLT, ROU, MKD, MDG, MAR, ZMB, SRB, HKG, EU27_2020, ALB, SGP, GEO, CMR, SEN
AUS, 1.0, 0.5752403446582989, 0.7203550232841832, 0.847917378917379, 0.847917378917379, 0.1292658032123281, 2.3081260081896016, 1.6735493738648315, 0.41627732519729715, 20.282985006815085, 20.282985006815085, 5.481012891344384, 1.968909186333185, 2.766095803411548, 0.0024726031570202157, 0.1488095, 0.7203550232841832, 103.22046242774567, 0.517788867206189, 1.24999580001344, 0.124999930000028, 2232.1425, 6.2261652394633344, 6.2261652394633344, 3.746761448755985, 0.17259245226851413, 0.20417727163585223, 0.31887750000000004, 2.49999860000056, 0.892857, -, 15943.875, 15943.875, 0.37202375000000004, 0.37202375000000004, 0.1875001575001575, 0.1875001575001575, 24801.583333333332, 24801.583333333332, 24801.583333333332, 1.24999930000028, 1.24999930000028, 1.24999930000028, 1.24999930000028, 1.24999930000028, 1.24999930000028, 1.24999930000028, 0.15901282279608192, 0.15901282279608192, 0.15901282279608192, 1.4631842875052237, 1.0732499197638232, 1.0732499197638232, 1.0732499197638232, 0.025513115784661103, 0.255102, 1.24999930000028, 1.24999930000028, 0.15624958437603906, 0.15624958437603906, 0.15624958437603906, 0.29166704777833674, 0.29166704777833674, 0.005102603706499759, 0.005102603706499759
AUT, 1.7384037981446077, 1.0, 1.2522679084897714, 1.4740227920227922, 1.4740227920227922, 0.22471616327452462, 4.012455019233156, 2.909304587909153, 0.7236580832044593, 35.26001817355748, 35.26001817355748, 9.528213627992635, 3.4227592077234177, 4.808591450682496, 0.004298382719468291, 0.258691, 1.2522679084897714, 179.43884393063584, 0.9001261333882328, 2.1729974464081714, 0.2173003530798588, 3880.365, 10.823589300158991, 10.823589300158991, 6.513384333259197, 0.3000353745546769, 0.35494254450656876, 0.5543378571428572, 4.3460070615971755, 1.552146, -, 27716.89285714286, 27716.89285714286, 0.6467275, 0.6467275, 0.325950985950986, 0.325950985950986, 43115.166666666664, 43115.166666666664, 43115.166666666664, 2.1730035307985878, 2.1730035307985878, 2.1730035307985878, 2.1730035307985878, 2.1730035307985878, 2.1730035307985878, 2.1730035307985878, 0.27642849510240425, 0.27642849510240425, 0.27642849510240425, 2.5436051227845926, 1.8657417368758258, 1.8657417368758258, 1.8657417368758258, 0.044352097382558006, 0.4434702857142857, 2.1730035307985878, 2.1730035307985878, 0.27162487093782267, 0.27162487093782267, 0.27162487093782267, 0.5070351036514854, 0.5070351036514854, 0.008870385663805934, 0.008870385663805934
BEL, 1.388204382112701, 0.798551167222671, 1.0, 1.177082621082621, 1.177082621082621, 0.17944735447667196, 3.2041506390371013, 2.323228574481126, 0.5778780070130418, 28.156928668786918, 28.156928668786918, 7.608766114180479, 2.73324836044968, 3.839906315639464, 0.003432478537801163, 0.206578, 1.0, 143.29109826589595, 0.7187967744648031, 1.735249647201129, 0.17352545058981977, 3098.67, 8.643189869180777, 8.643189869180777, 5.201270661893991, 0.23959359855872853, 0.28343978321270535, 0.44266714285714287, 3.4705090117963953, 1.239468, -, 22133.357142857145, 22133.357142857145, 0.516445, 0.516445, 0.2602885402885403, 0.2602885402885403, 34429.666666666664, 34429.666666666664, 34429.666666666664, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 0.22074229741763135, 0.22074229741763135, 0.22074229741763135, 2.031198839753202, 1.4898902417182442, 1.4898902417182442, 1.4898902417182442, 0.03541741913361527, 0.3541337142857143, 1.7352545058981976, 1.7352545058981976, 0.2169063577341057, 0.2169063577341057, 0.2169063577341057, 0.4048934738437616, 0.4048934738437616, 0.007083456825547476, 0.007083456825547476
CAN, 1.1793601886976302, 0.6784155614227012, 0.84955803618972, 1.0, 1.0, 0.15245094206864201, 2.7221119245563963, 1.9737175053560283, 0.4909409047952291, 23.92094502498864, 23.92094502498864, 6.464088397790055, 2.322053109522402, 3.262223268667166, 0.002916089725837718, 0.1755, 0.84955803618972, 121.73410404624278, 0.6106595761338232, 1.4741952825750957, 0.14741994103202358, 2632.4999999999995, 7.342891411676103, 7.342891411676103, 4.418781289209864, 0.20354866707518154, 0.24079854560422595, 0.37607142857142856, 2.9483988206404717, 1.053, -, 18803.571428571428, 18803.571428571428, 0.43875, 0.43875, 0.22113022113022113, 0.22113022113022113, 29249.999999999996, 29249.999999999996, 29249.999999999996, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 0.18753339269813, 0.18753339269813, 0.18753339269813, 1.7256212974115681, 1.2657482278923788, 1.2657482278923788, 1.2657482278923788, 0.030089153046062404, 0.3008571428571428, 1.4741994103202358, 1.4741994103202358, 0.1842745393136517, 0.1842745393136517, 0.1842745393136517, 0.34398050450473994, 0.34398050450473994, 0.006017807670146782, 0.006017807670146782
CZE, 1.1793601886976302, 0.6784155614227012, 0.84955803618972, 1.0, 1.0, 0.15245094206864201, 2.7221119245563963, 1.9737175053560283, 0.4909409047952291, 23.92094502498864, 23.92094502498864, 6.464088397790055, 2.322053109522402, 3.262223268667166, 0.002916089725837718, 0.1755, 0.84955803618972, 121.73410404624278, 0.6106595761338232, 1.4741952825750957, 0.14741994103202358, 2632.4999999999995, 7.342891411676103, 7.342891411676103, 4.418781289209864, 0.20354866707518154, 0.24079854560422595, 0.37607142857142856, 2.9483988206404717, 1.053, -, 18803.571428571428, 18803.571428571428, 0.43875, 0.43875, 0.22113022113022113, 0.22113022113022113, 29249.999999999996, 29249.999999999996, 29249.999999999996, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 1.4741994103202358, 0.18753339269813, 0.18753339269813, 0.18753339269813, 1.7256212974115681, 1.2657482278923788, 1.2657482278923788, 1.2657482278923788, 0.030089153046062404, 0.3008571428571428, 1.4741994103202358, 1.4741994103202358, 0.1842745393136517, 0.1842745393136517, 0.1842745393136517, 0.34398050450473994, 0.34398050450473994, 0.006017807670146782, 0.006017807670146782
DNK, 7.735998037759686, 4.450058177516806, 5.572665046616774, 6.55948717948718, 6.55948717948718, 1.0, 17.855658270256857, 12.946574672312288, 3.2203205708901415, 156.90913221263062, 156.90913221263062, 42.40110497237569, 15.231477602000538, 21.39851170744704, 0.019128053170866795, 1.15119, 5.572665046616774, 798.5132947976879, 4.005613660680889, 9.66996505611182, 0.9669992132003148, 17267.85, 48.16560207525592, 48.16560207525592, 28.984939215529938, 1.3351748720813577, 1.5795149727300792, 2.4668357142857142, 19.339984264006294, 6.90714, -, 123341.78571428571, 123341.78571428571, 2.877975, 2.877975, 1.4505008505008505, 1.4505008505008505, 191865.0, 191865.0, 191865.0, 9.669992132003147, 9.669992132003147, 9.669992132003147, 9.669992132003147, 9.669992132003147, 9.669992132003147, 9.669992132003147, 1.2301228851291184, 1.2301228851291184, 1.2301228851291184, 11.319190777021214, 8.302659273318676, 8.302659273318676, 8.302659273318676, 0.19736941364727395, 1.9734685714285713, 9.669992132003147, 9.669992132003147, 1.2087464781338046, 1.2087464781338046, 1.2087464781338046, 2.2563357092923737, 2.2563357092923737, 0.039473732260947435, 0.039473732260947435
FIN, 0.4332519093203055, 0.2492239776412786, 0.3120951892263455, 0.3673618233618234, 0.3673618233618234, 0.05600465605156404, 1.0, 0.7250684615687399, 0.1803529459484787, 8.787641980917765, 8.787641980917765, 2.3746593001841623, 0.8530336642571416, 1.1984162881909377, 0.0010712600387704236, 0.064472, 0.3120951892263455, 44.720462427745666, 0.2243330153418795, 0.5415630669981856, 0.05415645833741667, 967.0799999999999, 2.6974979777412065, 2.6974979777412065, 1.6232915514412445, 0.07477600947960744, 0.08846019277604363, 0.13815428571428573, 1.0831291667483334, 0.386832, -, 6907.714285714286, 6907.714285714286, 0.16118000000000002, 0.16118000000000002, 0.08123480123480124, 0.08123480123480124, 10745.333333333334, 10745.333333333334, 10745.333333333334, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.06889260908281389, 0.06889260908281389, 0.06889260908281389, 0.6339273862491089, 0.4649875769155411, 0.4649875769155411, 0.4649875769155411, 0.011053606126414447, 0.11052342857142858, 0.5415645833741667, 0.5415645833741667, 0.0676954307614231, 0.0676954307614231, 0.0676954307614231, 0.12636530533578116, 0.12636530533578116, 0.002210712798345888, 0.002210712798345888
FRA, 0.5975324156051864, 0.34372475269723335, 0.4304354771563283, 0.5066581196581197, 0.5066581196581197, 0.07724050764860708, 1.379180109194689, 1.0, 0.24873919568680672, 12.119741026805997, 12.119741026805997, 3.2750828729281767, 1.1764870622169101, 1.6528319072078712, 0.0014774605372472997, 0.0889185, 0.4304354771563283, 61.67757225433526, 0.3093956325951872, 0.7469130098783683, 0.07469151012339595, 1333.7775, 3.72033555549357, 3.72033555549357, 2.238811419171552, 0.10312958491922809, 0.12200253833224708, 0.19053964285714287, 1.4938302024679189, 0.533511, -, 9526.982142857143, 9526.982142857143, 0.22229625, 0.22229625, 0.11203742203742204, 0.11203742203742204, 14819.749999999998, 14819.749999999998, 14819.749999999998, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.09501531611754228, 0.09501531611754228, 0.09501531611754228, 0.8743000417885499, 0.6413016171045498, 0.6413016171045498, 0.6413016171045498, 0.01524491370442336, 0.15243171428571428, 0.7469151012339594, 0.7469151012339594, 0.09336419158952103, 0.09336419158952103, 0.09336419158952103, 0.17428051561142288, 0.17428051561142288, 0.0030489711186207783, 0.0030489711186207783
DEU, 2.402244704359153, 1.3818680716891325, 1.7304690399429434, 2.0369050332383667, 2.0369050332383667, 0.31052809122154756, 5.544683480167101, 4.020275120850367, 1.0, 48.724693321217636, 48.724693321217636, 13.166734192756294, 4.729801666232982, 6.644838995495467, 0.005939797839933536, 0.35747683333333335, 1.7304690399429434, 247.96080924855494, 1.243855564222192, 3.002795791053469, 0.30028041988783205, 5362.1525, 14.956772474965831, 14.956772474965831, 9.000637848771092, 0.4146093044743979, 0.49048376953772627, 0.7660217857142858, 6.0056083977566415, 2.144861, -, 38301.08928571429, 38301.08928571429, 0.8936920833333334, 0.8936920833333334, 0.45042126042126046, 0.45042126042126046, 59579.472222222226, 59579.472222222226, 59579.472222222226, 3.0028041988783207, 3.0028041988783207, 3.0028041988783207, 3.0028041988783207, 3.0028041988783207, 3.0028041988783207, 3.0028041988783207, 0.38198771148708816, 0.38198771148708816, 0.38198771148708816, 3.514926706160944, 2.57820893620653, 2.57820893620653, 2.57820893620653, 0.061288747285404045, 0.6128174285714286, 3.0028041988783207, 3.0028041988783207, 0.37534973662565846, 0.37534973662565846, 0.37534973662565846, 0.7006556209615774, 0.7006556209615774, 0.01225770273238243, 0.01225770273238243
GRC, 0.04930240788838526, 0.02836073410619877, 0.03551523718240406, 0.041804368471035136, 0.041804368471035136, 0.006373115355993942, 0.1137961699135542, 0.08251001385163567, 0.020523474481563136, 1.0, 1.0, 0.27022713321055863, 0.09707196379978741, 0.13637518355814687, 0.00012190528939351979, 0.007336666666666666, 0.03551523718240406, 5.089017341040462, 0.025528237931064478, 0.06162780279103106, 0.006162797534880986, 110.04999999999998, 0.30696493821650717, 0.30696493821650717, 0.18472436120704486, 0.008509223480198948, 0.01006643112772842, 0.01572142857142857, 0.12325595069761972, 0.04402, -, 786.0714285714286, 786.0714285714286, 0.018341666666666666, 0.018341666666666666, 0.009244209244209245, 0.009244209244209245, 1222.7777777777776, 1222.7777777777776, 1222.7777777777776, 0.06162797534880986, 0.06162797534880986, 0.06162797534880986, 0.06162797534880986, 0.06162797534880986, 0.06162797534880986, 0.06162797534880986, 0.007839715048975956, 0.007839715048975956, 0.007839715048975956, 0.07213850855845891, 0.05291380531037276, 0.05291380531037276, 0.05291380531037276, 0.001257858040918962, 0.012577142857142856, 0.06162797534880986, 0.06162797534880986, 0.0077034807412981465, 0.0077034807412981465, 0.0077034807412981465, 0.014379887757168709, 0.014379887757168709, 0.0002515706492306375, 0.0002515706492306375
