, AUS, AUT, BEL, CAN, CZE, DNK, FIN, FRA, DEU, GRC, HUN, ISL, IRL, ITA, JPN, KOR, LUX, MEX, NLD, NZL, NOR, POL, PRT, SVK, ESP, SWE, CHE, TUR, GBR, USA, BRA, CHL, CHN, COL, EST, IND, IDN, ISR, RUS, SVN, ZAF, DEW, LVA, LTU, SAU, EA19, ARG, CRI, BGR, HRV, CYP, MLT, ROU, MKD, MDG, MAR, ZMB, SRB, HKG, EU27_2020, ALB, SGP, GEO, CMR, SEN
AUS, 1.0, 0.49926749717386665, 0.7686769138836012, 0.8466027296870884, 0.8466027296870884, 0.12068826579743665, 1.20267063208114, 1.090583535751252, 0.5144354476126568, 9.526112537198157, 0.015177307274701414, 0.9502540210558755, 1.6497105574252888, 2.7844572005298684, 0.0027664052643297135, 0.002134666458410415, 0.7686769138836012, 67.09584, 0.5758674766960907, 1.0024119137543626, 0.12730211016614582, 2279.070652173913, 6.215248032488032, 6.215248032488032, 2.1712233903473916, 0.17610763610158456, 0.2195975649669438, 59907.00000000001, 2.0947026649017206, 0.838698, -, 40.25428365730742, 0.3735738726612046, 0.03835509087873337, 0.03835509087873337, 0.11043538533574702, 0.0020209590361445783, 2006.4545454545455, 2006.4545454545455, 2006.4545454545455, 1.091024748772318, 0.5144357631541177, 0.5144357631541177, 0.5144357631541177, 0.2023517444827231, 0.2023517444827231, -, 0.12640512434061796, 776.5722222222223, 776.5722222222223, 1.2797281543917045, 0.9435924552926022, 1516.6329113924053, 1516.6329113924053, 0.016639072694946785, 0.1826242030449779, 1174.6470588235295, 1174.6470588235295, 0.14866796764004506, 0.14866796764004506, 0.14866796764004506, 0.29820373333333333, 0.29820373333333333, 0.0033278018365819873, 0.0033278018365819873
AUT, 2.002934310085394, 1.0, 1.5396093641880204, 1.6956896543022197, 1.6956896543022197, 0.24173066839039142, 2.408870272727403, 2.184367181770424, 1.0303804083475276, 19.080177642488813, 0.030399149475208106, 1.9032963820694218, 3.3042618771772116, 5.5770848619055995, 0.005540928019526836, 0.004275596690138696, 1.5396093641880204, 134.38855999999998, 1.1534247271369011, 2.0077652148969736, 0.2549777641980441, 4564.828804347826, 12.44873352996102, 12.44873352996102, 4.348817823386723, 0.3527320266158969, 0.4398394972834981, 119989.78571428571, 4.195551836958964, 1.679857, -, 80.6266858651308, 0.7482439269045987, 0.07682272748745841, 0.07682272748745841, 0.22119482233646912, 0.004047848192771084, 4018.796650717703, 4018.796650717703, 4018.796650717703, 2.185250902468373, 1.0303810403563458, 1.0303810403563458, 1.0303810403563458, 0.40529725173007897, 0.40529725173007897, -, 0.25318116051243406, 1555.4231481481481, 1555.4231481481481, 2.5632114280134033, 1.8899537034432712, 3037.71609403255, 3037.71609403255, 0.03332696958871396, 0.3657842821307877, 2352.7408963585435, 2352.7408963585435, 0.29777217319691135, 0.29777217319691135, 0.29777217319691135, 0.5972824888888889, 0.5972824888888889, 0.00666536847565525, 0.00666536847565525
BEL, 1.3009366899646835, 0.649515405180322, 1.0, 1.1013765528741863, 1.1013765528741863, 0.15700779302409512, 1.564598351217372, 1.418780135130215, 0.6692479484177101, 12.39286931237364, 0.019744715888526967, 1.2362203207780613, 2.146168991976648, 3.6224025338056554, 0.0035989181076779724, 0.0027770659165830785, 1.0, 87.28744, 0.7491671289913268, 1.3040744370607642, 0.1656119858250652, 2964.926630434783, 8.08564420269449, 8.08564420269449, 2.8246241706124335, 0.22910488518750038, 0.2856825292924004, 77935.21428571429, 2.725075551337446, 1.091093, -, 52.368274538036964, 0.4859959573571557, 0.049897544971074015, 0.049897544971074015, 0.14366944465366108, 0.0026291397590361447, 2610.2703349282297, 2610.2703349282297, 2610.2703349282297, 1.4193541253374096, 0.6692483589171737, 0.6692483589171737, 0.6692483589171737, 0.2632468086759332, 0.2632468086759332, -, 0.16444506405425774, 1010.2712962962963, 1010.2712962962963, 1.6648453092289572, 1.2275540454640064, 1973.0433996383365, 1973.0433996383365, 0.021646380155845812, 0.23758252621677178, 1528.141456582633, 1528.141456582633, 0.1934076137254169, 0.1934076137254169, 0.1934076137254169, 0.3879441777777778, 0.3879441777777778, 0.004329259506141365, 0.004329259506141365
CAN, 1.1811915612055828, 0.5897305544460034, 0.9079546839728602, 1.0, 1.0, 0.14255596109646854, 1.420584401524027, 1.288188069219126, 0.607646809505087, 11.252163740033167, 0.01792730727470141, 1.1224320306728723, 1.948624188862509, 3.2889773478040016, 0.003267654553100957, 0.00252145000666299, 0.9079546839728602, 79.25304, 0.680209803846175, 1.1840404933785915, 0.15036817825191487, 2692.0190217391305, 7.341398526774466, 7.341398526774466, 2.564630746170514, 0.20801685362705533, 0.2593867906002487, 70761.64285714286, 2.4742451110167583, 0.990663, -, 47.54802015838733, 0.4412623058743039, 0.04530470967523308, 0.04530470967523308, 0.13044534521707116, 0.0023871397590361446, 2370.0071770334926, 2370.0071770334926, 2370.0071770334926, 1.288709226316303, 0.6076471822199977, 0.6076471822199977, 0.6076471822199977, 0.23901617297822092, 0.23901617297822092, -, 0.14930866616428032, 917.2805555555555, 917.2805555555555, 1.5116040966046764, 1.1145634454088778, 1791.4339963833634, 1791.4339963833634, 0.019653932253557375, 0.21571416750862277, 1387.4831932773109, 1387.4831932773109, 0.1756053487980059, 0.1756053487980059, 0.1756053487980059, 0.3522357333333333, 0.3522357333333333, 0.003930771446735083, 0.003930771446735083
CZE, 1.1811915612055828, 0.5897305544460034, 0.9079546839728602, 1.0, 1.0, 0.14255596109646854, 1.420584401524027, 1.288188069219126, 0.607646809505087, 11.252163740033167, 0.01792730727470141, 1.1224320306728723, 1.948624188862509, 3.2889773478040016, 0.003267654553100957, 0.00252145000666299, 0.9079546839728602, 79.25304, 0.680209803846175, 1.1840404933785915, 0.15036817825191487, 2692.0190217391305, 7.341398526774466, 7.341398526774466, 2.564630746170514, 0.20801685362705533, 0.2593867906002487, 70761.64285714286, 2.4742451110167583, 0.990663, -, 47.54802015838733, 0.4412623058743039, 0.04530470967523308, 0.04530470967523308, 0.13044534521707116, 0.0023871397590361446, 2370.0071770334926, 2370.0071770334926, 2370.0071770334926, 1.288709226316303, 0.6076471822199977, 0.6076471822199977, 0.6076471822199977, 0.23901617297822092, 0.23901617297822092, -, 0.14930866616428032, 917.2805555555555, 917.2805555555555, 1.5116040966046764, 1.1145634454088778, 1791.4339963833634, 1791.4339963833634, 0.019653932253557375, 0.21571416750862277, 1387.4831932773109, 1387.4831932773109, 0.1756053487980059, 0.1756053487980059, 0.1756053487980059, 0.3522357333333333, 0.3522357333333333, 0.003930771446735083, 0.003930771446735083
DNK, 8.285809671657736, 4.136835456827575, 6.369110607436762, 7.014789085693117, 7.014789085693117, 1.0, 9.965099955116633, 9.036367608278415, 4.262514207272528, 78.9315553940165, 0.12575627940644227, 7.873623958196427, 13.669187692150333, 23.071482402467407, 0.022921907494908012, 0.01768743998686038, 6.369110607436762, 555.94336, 4.771528308001604, 8.305794329970837, 1.0548010556370895, 18883.945652173912, 51.49836225934104, 51.49836225934104, 17.990343767069916, 1.4591943544632904, 1.8195436276755907, 496378.0, 17.35630760008991, 6.949292, -, 333.5393328533717, 3.0953620071748444, 0.3178029829603204, 0.3178029829603204, 0.9150465839081816, 0.016745281927710843, 16625.1004784689, 16625.1004784689, 16625.1004784689, 9.040023415395622, 4.262516821789016, 4.262516821789016, 4.262516821789016, 1.6766480415117622, 1.6766480415117622, -, 1.0473688018085907, 6434.529629629629, 6434.529629629629, 10.603583918751488, 7.818427492166712, 12566.53164556962, 12566.53164556962, 0.1378681894632062, 1.5131893878688638, 9732.901960784313, 9732.901960784313, 1.2318344841375846, 1.2318344841375846, 1.2318344841375846, 2.470859377777778, 2.470859377777778, 0.027573532642911406, 0.027573532642911406
FIN, 0.8314828460303946, 0.4151323594805986, 0.6391416680337972, 0.7039356471373212, 0.7039356471373212, 0.10035022272772536, 1.0, 0.9068015021403418, 0.4277442500798919, 7.920799164035347, 0.012619670647846543, 0.790119917879366, 1.371706029414368, 2.3152283977464, 0.0023002185224583363, 0.0017749385421647148, 0.6391416680337972, 55.78903999999999, 0.4788239284596075, 0.8334883109432518, 0.10584952086662176, 1895.008152173913, 5.167872122837959, 5.167872122837959, 1.8053350039738116, 0.1464304784734306, 0.1825916083000589, 49811.642857142855, 1.741709333399935, 0.697363, -, 33.47074634029278, 0.31062026684293464, 0.031891600123603654, 0.031891600123603654, 0.09182512850143025, 0.0016803927710843372, 1668.3325358851673, 1668.3325358851673, 1668.3325358851673, 0.9071683631988031, 0.4277445124472038, 0.4277445124472038, 0.4277445124472038, 0.16825200440170981, 0.16825200440170981, -, 0.10510369253956292, 645.7064814814814, 645.7064814814814, 1.0640720079588386, 0.7845809402195008, 1261.0542495479203, 1261.0542495479203, 0.01383510351970098, 0.15184889210187086, 976.6988795518207, 976.6988795518207, 0.12361486484689928, 0.12361486484689928, 0.12361486484689928, 0.24795128888888887, 0.24795128888888887, 0.002767010142106365, 0.002767010142106365
FRA, 0.9169403050919401, 0.4577984911810946, 0.7048308439335602, 0.7762841652509482, 0.7762841652509482, 0.11066393526131872, 1.1027771763055971, 1.0, 0.47170659628405837, 8.734876536198634, 0.013916684762938836, 0.8713262119818175, 1.5126861018389388, 2.553181034969307, 0.0025366284870824364, 0.001957361713644377, 0.7048308439335602, 61.52288, 0.5280360997742392, 0.9191518860257208, 0.11672843573459352, 2089.771739130435, 5.699011427131657, 5.699011427131657, 1.9908822379678939, 0.16148018957600732, 0.2013578582182366, 54931.14285714286, 1.9207173006318838, 0.769036, -, 36.91077513798896, 0.3425449407723426, 0.03516932873217487, 0.03516932873217487, 0.10126265592270585, 0.001853098795180723, 1839.799043062201, 1839.799043062201, 1839.799043062201, 1.0004045660021466, 0.47170688561674173, 0.47170688561674173, 0.47170688561674173, 0.18554447032187446, 0.18554447032187446, -, 0.11590595327807085, 712.0703703703704, 712.0703703703704, 1.173434324322675, 0.8652179538384515, 1390.6618444846295, 1390.6618444846295, 0.015257036393351475, 0.16745549245723446, 1077.0812324929973, 1077.0812324929973, 0.1363196516052616, 0.1363196516052616, 0.1363196516052616, 0.27343502222222227, 0.27343502222222227, 0.003051395631321006, 0.003051395631321006
DEU, 1.9438784878466384, 0.9705153474373117, 1.4942145170026753, 1.6456928339909738, 1.6456928339909738, 0.2346033236191543, 2.3378455696674476, 2.1199618743465845, 1.0, 18.517605233865655, 0.02950284111473037, 1.8471783495202831, 3.2068368637525055, 5.4126464524396845, 0.005377555681996223, 0.004149532207231776, 1.4942145170026753, 130.42616, 1.1194163998000561, 1.9485669551082854, 0.2474598334094537, 4430.236413043479, 12.08168694698463, 12.08168694698463, 4.22059444080574, 0.3423318453633943, 0.42687098252274663, 116451.92857142858, 4.071847448737481, 1.630327, -, 78.2494360451164, 0.7261822146876752, 0.07455763605857263, 0.07455763605857263, 0.21467296985121276, 0.003928498795180723, 3900.303827751196, 3900.303827751196, 3900.303827751196, 2.120819538846792, 1.0000006133742578, 1.0000006133742578, 1.0000006133742578, 0.3933472030782052, 0.3933472030782052, -, 0.24571620195930674, 1509.562037037037, 1509.562037037037, 2.4876360296137157, 1.8342290751376802, 2948.1500904159134, 2948.1500904159134, 0.032344335469423446, 0.3549992596592691, 2283.3711484593837, 2283.3711484593837, 0.2889924641273638, 0.2889924641273638, 0.2889924641273638, 0.5796718222222222, 0.5796718222222222, 0.00646884240194826, 0.00646884240194826
GRC, 0.10497461541579924, 0.05241041350543528, 0.08069156341393445, 0.08887179595886795, 0.08887179595886795, 0.012669204287285669, 0.12624988707459386, 0.11448358724429024, 0.05400266326939319, 1.0, 0.001593231994209193, 0.09975255040765733, 0.17317773131310346, 0.2922973237673759, 0.0002904023287072541, 0.0002240857905126395, 0.08069156341393445, 7.043359999999999, 0.060451466896638856, 0.10522780513457952, 0.013363490056310864, 239.24456521739128, 0.652443271924234, 0.652443271924234, 0.22792334038350517, 0.01848683137154936, 0.023052169928650914, 6288.714285714285, 0.21989060665850793, 0.088042, -, 4.225677945764339, 0.039215773612000716, 0.004026310914233065, 0.004026310914233065, 0.011592912103915639, 0.00021214939759036142, 210.6267942583732, 210.6267942583732, 210.6267942583732, 0.11452990341149305, 0.05400269639323669, 0.05400269639323669, 0.05400269639323669, 0.021241796555789935, 0.021241796555789935, -, 0.013269329314242653, 81.52037037037036, 81.52037037037036, 0.13433897084403973, 0.09905325510359064, 159.20795660036165, 159.20795660036165, 0.0017466802570275648, 0.019170905480263387, 123.30812324929971, 123.30812324929971, 0.015606362727662217, 0.015606362727662217, 0.015606362727662217, 0.03130382222222222, 0.03130382222222222, 0.0003493347179751845, 0.0003493347179751845
