, AUS, AUT, BEL, CAN, CZE, DNK, FIN, FRA, DEU, GRC, HUN, ISL, IRL, ITA, JPN, KOR, LUX, MEX, NLD, NZL, NOR, POL, PRT, SVK, ESP, SWE, CHE, TUR, GBR, USA, BRA, CHL, CHN, COL, EST, IND, IDN, ISR, RUS, SVN, ZAF, DEW, LVA, LTU, SAU, EA19, ARG, CRI, BGR, HRV, CYP, MLT, ROU, MKD, MDG, MAR, ZMB, SRB, HKG, EU27_2020, ALB, SGP, GEO, CMR, SEN
AUS, 1.0, 0.5032349153297054, 0.7203550232841832, 0.9082980671414039, 0.9082980671414039, 0.1292658032123281, 2.3081260081896016, 1.6735493738648315, 0.4157801013864972, 11.550543337645538, 11.550543337645538, 5.481012891344384, 1.968909186333185, 2.766095803411548, 0.0024801583333333333, 0.04960316666666667, 0.7203550232841832, 103.22046242774567, 0.517788867206189, 1.24999580001344, 0.124999930000028, 2232.1425, 6.2261652394633344, 6.2261652394633344, 3.746761448755985, 0.17259245226851413, 0.20417727163585223, 0.31887750000000004, 2.49999860000056, 0.892857, -, 12575.450704225352, 12575.450704225352, 0.3557199203187251, 0.3557199203187251, 0.1875001575001575, 0.1875001575001575, 8928.57, 8928.57, 8928.57, 1.24999930000028, 1.24999930000028, 1.24999930000028, 1.24999930000028, 0.2380952, 0.2380952, 0.2380952, 0.15901282279608192, 763.125641025641, 763.125641025641, 1.4631842875052237, 1.0732499197638232, 1.0732499197638232, 1.0732499197638232, 0.025513115784661103, 0.255102, 1.24999930000028, 1.24999930000028, 0.15624958437603906, 0.15624958437603906, 0.15624958437603906, 0.29166704777833674, 0.29166704777833674, 0.005102603706499759, 0.005102603706499759
AUT, 1.9871435179429628, 1.0, 1.4314488151368168, 1.8049186164801627, 1.8049186164801627, 0.25686970294506845, 4.586577635769533, 3.3255827902330037, 0.8262147333598457, 22.952587322121605, 22.952587322121605, 10.891559238796809, 3.9125051270403417, 5.49662934575849, 0.004928430555555556, 0.0985686111111111, 1.4314488151368168, 205.11387283236996, 1.028920791131808, 2.483921051452635, 0.24839280064287975, 4435.5875, 12.37228389724136, 12.37228389724136, 7.44535272617404, 0.34296597277125807, 0.4057295418424633, 0.6336553571428571, 4.967856012857595, 1.774235, -, 24989.225352112673, 24989.225352112673, 0.7068665338645419, 0.7068665338645419, 0.3725897225897226, 0.3725897225897226, 17742.35, 17742.35, 17742.35, 2.4839280064287976, 2.4839280064287976, 2.4839280064287976, 2.4839280064287976, 0.47312933333333335, 0.47312933333333335, 0.47312933333333335, 0.3159813000890472, 1516.440170940171, 1516.440170940171, 2.9075571724719977, 2.132701621191486, 2.132701621191486, 2.132701621191486, 0.0506982226540176, 0.5069242857142857, 2.4839280064287976, 2.4839280064287976, 0.31049034877412807, 0.31049034877412807, 0.31049034877412807, 0.5795842833902823, 0.5795842833902823, 0.010139605880002732, 0.010139605880002732
BEL, 1.388204382112701, 0.6985929146928113, 1.0, 1.2609033570701933, 1.2609033570701933, 0.17944735447667196, 3.2041506390371013, 2.323228574481126, 0.5771877587399985, 16.0345148771022, 16.0345148771022, 7.608766114180479, 2.73324836044968, 3.839906315639464, 0.0034429666666666667, 0.06885933333333333, 1.0, 143.29109826589595, 0.7187967744648031, 1.735249647201129, 0.17352545058981977, 3098.67, 8.643189869180777, 8.643189869180777, 5.201270661893991, 0.23959359855872853, 0.28343978321270535, 0.44266714285714287, 3.4705090117963953, 1.239468, -, 17457.295774647886, 17457.295774647886, 0.4938119521912351, 0.4938119521912351, 0.2602885402885403, 0.2602885402885403, 12394.68, 12394.68, 12394.68, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 1.7352545058981976, 0.3305248, 0.3305248, 0.3305248, 0.22074229741763135, 1059.374358974359, 1059.374358974359, 2.031198839753202, 1.4898902417182442, 1.4898902417182442, 1.4898902417182442, 0.03541741913361527, 0.3541337142857143, 1.7352545058981976, 1.7352545058981976, 0.2169063577341057, 0.2169063577341057, 0.2169063577341057, 0.4048934738437616, 0.4048934738437616, 0.007083456825547476, 0.007083456825547476
CAN, 1.100960176153628, 0.5540416010280487, 0.7930821933281053, 1.0, 1.0, 0.142316501475285, 2.5411548165611944, 1.842511213452019, 0.4577573336636513, 12.716688227684347, 12.716688227684347, 6.034376918354819, 2.16769060461588, 3.0453613229817895, 0.0027305555555555555, 0.05461111111111111, 0.7930821933281053, 113.64161849710983, 0.5700649224497134, 1.3761955961740922, 0.137619944952022, 2457.5, 6.854759978801149, 6.854759978801149, 4.125035144628012, 0.19001741665233, 0.22479104494677504, 0.3510714285714286, 2.75239889904044, 0.983, -, 13845.070422535211, 13845.070422535211, 0.3916334661354582, 0.3916334661354582, 0.20643020643020643, 0.20643020643020643, 9830.0, 9830.0, 9830.0, 1.37619944952022, 1.37619944952022, 1.37619944952022, 1.37619944952022, 0.26213333333333333, 0.26213333333333333, 0.26213333333333333, 0.17506678539626, 840.1709401709402, 840.1709401709402, 1.610907630916972, 1.1816054207200462, 1.1816054207200462, 1.1816054207200462, 0.0280889244485084, 0.28085714285714286, 1.37619944952022, 1.37619944952022, 0.17202456993857515, 0.17202456993857515, 0.17202456993857515, 0.3211138043002463, 0.3211138043002463, 0.00561776347555013, 0.00561776347555013
CZE, 1.100960176153628, 0.5540416010280487, 0.7930821933281053, 1.0, 1.0, 0.142316501475285, 2.5411548165611944, 1.842511213452019, 0.4577573336636513, 12.716688227684347, 12.716688227684347, 6.034376918354819, 2.16769060461588, 3.0453613229817895, 0.0027305555555555555, 0.05461111111111111, 0.7930821933281053, 113.64161849710983, 0.5700649224497134, 1.3761955961740922, 0.137619944952022, 2457.5, 6.854759978801149, 6.854759978801149, 4.125035144628012, 0.19001741665233, 0.22479104494677504, 0.3510714285714286, 2.75239889904044, 0.983, -, 13845.070422535211, 13845.070422535211, 0.3916334661354582, 0.3916334661354582, 0.20643020643020643, 0.20643020643020643, 9830.0, 9830.0, 9830.0, 1.37619944952022, 1.37619944952022, 1.37619944952022, 1.37619944952022, 0.26213333333333333, 0.26213333333333333, 0.26213333333333333, 0.17506678539626, 840.1709401709402, 840.1709401709402, 1.610907630916972, 1.1816054207200462, 1.1816054207200462, 1.1816054207200462, 0.0280889244485084, 0.28085714285714286, 1.37619944952022, 1.37619944952022, 0.17202456993857515, 0.17202456993857515, 0.17202456993857515, 0.3211138043002463, 0.3211138043002463, 0.00561776347555013, 0.00561776347555013
DNK, 7.735998037759686, 3.8930243175227632, 5.572665046616774, 7.026592065106816, 7.026592065106816, 1.0, 17.855658270256857, 12.946574672312288, 3.2164740484654653, 89.3549805950841, 89.3549805950841, 42.40110497237569, 15.231477602000538, 21.39851170744704, 0.0191865, 0.38373, 5.572665046616774, 798.5132947976879, 4.005613660680889, 9.66996505611182, 0.9669992132003148, 17267.85, 48.16560207525592, 48.16560207525592, 28.984939215529938, 1.3351748720813577, 1.5795149727300792, 2.4668357142857142, 19.339984264006294, 6.90714, -, 97283.66197183098, 97283.66197183098, 2.7518486055776896, 2.7518486055776896, 1.4505008505008505, 1.4505008505008505, 69071.4, 69071.4, 69071.4, 9.669992132003147, 9.669992132003147, 9.669992132003147, 9.669992132003147, 1.841904, 1.841904, 1.841904, 1.2301228851291184, 5903.538461538461, 5903.538461538461, 11.319190777021214, 8.302659273318676, 8.302659273318676, 8.302659273318676, 0.19736941364727395, 1.9734685714285713, 9.669992132003147, 9.669992132003147, 1.2087464781338046, 1.2087464781338046, 1.2087464781338046, 2.2563357092923737, 2.2563357092923737, 0.039473732260947435, 0.039473732260947435
FIN, 0.4332519093203055, 0.21802748790323717, 0.3120951892263455, 0.39352187182095627, 0.39352187182095627, 0.05600465605156404, 1.0, 0.7250684615687399, 0.1801375227830901, 5.004294954721863, 5.004294954721863, 2.3746593001841623, 0.8530336642571416, 1.1984162881909377, 0.0010745333333333333, 0.02149066666666667, 0.3120951892263455, 44.720462427745666, 0.2243330153418795, 0.5415630669981856, 0.05415645833741667, 967.0799999999999, 2.6974979777412065, 2.6974979777412065, 1.6232915514412445, 0.07477600947960744, 0.08846019277604363, 0.13815428571428573, 1.0831291667483334, 0.386832, -, 5448.338028169014, 5448.338028169014, 0.1541163346613546, 0.1541163346613546, 0.08123480123480124, 0.08123480123480124, 3868.3199999999997, 3868.3199999999997, 3868.3199999999997, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.5415645833741667, 0.1031552, 0.1031552, 0.1031552, 0.06889260908281389, 330.625641025641, 330.625641025641, 0.6339273862491089, 0.4649875769155411, 0.4649875769155411, 0.4649875769155411, 0.011053606126414447, 0.11052342857142858, 0.5415645833741667, 0.5415645833741667, 0.0676954307614231, 0.0676954307614231, 0.0676954307614231, 0.12636530533578116, 0.12636530533578116, 0.002210712798345888, 0.002210712798345888
FRA, 0.5975324156051864, 0.3006991745738304, 0.4304354771563283, 0.5427375381485249, 0.5427375381485249, 0.07724050764860708, 1.379180109194689, 1.0, 0.24844208834204298, 6.901824062095731, 6.901824062095731, 3.2750828729281767, 1.1764870622169101, 1.6528319072078712, 0.001481975, 0.0296395, 0.4304354771563283, 61.67757225433526, 0.3093956325951872, 0.7469130098783683, 0.07469151012339595, 1333.7775, 3.72033555549357, 3.72033555549357, 2.238811419171552, 0.10312958491922809, 0.12200253833224708, 0.19053964285714287, 1.4938302024679189, 0.533511, -, 7514.239436619717, 7514.239436619717, 0.21255418326693226, 0.21255418326693226, 0.11203742203742204, 0.11203742203742204, 5335.11, 5335.11, 5335.11, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.7469151012339594, 0.1422696, 0.1422696, 0.1422696, 0.09501531611754228, 455.99230769230763, 455.99230769230763, 0.8743000417885499, 0.6413016171045498, 0.6413016171045498, 0.6413016171045498, 0.01524491370442336, 0.15243171428571428, 0.7469151012339594, 0.7469151012339594, 0.09336419158952103, 0.09336419158952103, 0.09336419158952103, 0.17428051561142288, 0.17428051561142288, 0.0030489711186207783, 0.0030489711186207783
DEU, 2.4051175048188007, 1.2103391038954816, 1.7325384761849436, 2.184563580874873, 2.184563580874873, 0.3108994460804327, 5.551314265624353, 4.02508289426085, 1.0, 27.780413971539456, 27.780413971539456, 13.182480049109882, 4.7354579494484845, 6.652785436790938, 0.005965072222222222, 0.11930144444444443, 1.7325384761849436, 248.25734104046242, 1.2453430683179025, 3.006386779562305, 0.30063951974419206, 5368.565, 14.974659005327604, 14.974659005327604, 9.011401546783269, 0.41510512815060663, 0.4910703300975313, 0.7669378571428571, 6.012790394883842, 2.147426, -, 30245.436619718304, 30245.436619718304, 0.8555482071713147, 0.8555482071713147, 0.45095991095991095, 0.45095991095991095, 21474.26, 21474.26, 21474.26, 3.006395197441921, 3.006395197441921, 3.006395197441921, 3.006395197441921, 0.5726469333333333, 0.5726469333333333, 0.5726469333333333, 0.38244452359750664, 1835.4068376068374, 1835.4068376068374, 3.519130142654638, 2.5812921690693442, 2.5812921690693442, 2.5812921690693442, 0.061362041376157264, 0.6135502857142857, 3.006395197441921, 3.006395197441921, 0.37579861050347374, 0.37579861050347374, 0.37579861050347374, 0.7014935221904991, 0.7014935221904991, 0.012272361494655862, 0.012272361494655862
GRC, 0.08657601385216221, 0.04356807300047626, 0.06236546647432607, 0.07863682604272634, 0.07863682604272634, 0.011191317969521393, 0.19982834925755882, 0.14488923377399904, 0.03599658381709079, 1.0, 1.0, 0.474524248004911, 0.17046030898963124, 0.23947754859256595, 0.0002147222222222222, 0.0042944444444444445, 0.06236546647432607, 8.936416184971097, 0.04482809613973839, 0.10821965369710816, 0.01082199567120173, 193.24999999999997, 0.5390365680176284, 0.5390365680176284, 0.3243796710882455, 0.014942366538377523, 0.017676854297442226, 0.027607142857142858, 0.21643991342403462, 0.0773, -, 1088.732394366197, 1088.732394366197, 0.030796812749003984, 0.030796812749003984, 0.01623301623301623, 0.01623301623301623, 772.9999999999999, 772.9999999999999, 772.9999999999999, 0.10821995671201731, 0.10821995671201731, 0.10821995671201731, 0.10821995671201731, 0.02061333333333333, 0.02061333333333333, 0.02061333333333333, 0.013766696349065003, 66.06837606837607, 66.06837606837607, 0.12667666314331835, 0.09291769992030474, 0.09291769992030474, 0.09291769992030474, 0.0022088238655846378, 0.022085714285714285, 0.10821995671201731, 0.10821995671201731, 0.013527466181334546, 0.013527466181334546, 0.013527466181334546, 0.02525137036867654, 0.02525137036867654, 0.0004417630891760173, 0.0004417630891760173
